이름,슬롯,타입,옵션
Avarice Band,Ring,Ring,"Each time you pick up gold, increase your Gold and Health Pickup radius by 1 yard for 10 seconds, stacking up to 30 times. ; Randomly drops from the Act 3 & 4 Horadric Cache, the reward for completing all 5 bounties in the act. ; This item is a Reaper of Souls only item. ; Level 12 Stats ; Level 70 Stats ; The minimum level this item can drop at is 12. Below you will find the range of stats found on the level 12 version, however the item can drop at any level above 12. The legendary effect does not change with level."
Azurewrath,Weapon (1H),One-Handed Sword,Undead enemies within 25 yards take 500-650 weapon damage as Holy every second and are sometimes knocked back. ; Basic Information ; Advanced Information ; Pictures and Video ; Knocks Undead and Demons monsters into the air if they are within 25 yards of you. (Skeletons/Zombies etc) ; The knockback effect can happen once every 40 seconds.
Balefire Caster,Weapon (1H),Hand Crossbow,"Fire skills deal 15–20% more damage. ; This weapon comes with a nice bonus to your fire skill damage. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
Baleful Remnant,Weapon (1H),Two-Handed Flail,"Enemies killed while Akarat ; Assists count and will be turned into Phalanx Avatars. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Band of Hollow Whispers,Ring,Ring,This ring occasionally haunts nearby enemies. ; Basic Information ; Advanced Information ; Pictures and Video ; Benefits from Arcane skills deal X% more damage . ; The haunt does 600% weapon damage over 6 seconds.
Band of the Rue Chambers,Ring,Ring,"Your Spirit Generators generate 40–50% more Spirit. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
Band of Untold Secrets,Ring,Ring,"+10–12% Movement Speed ; Normally rings cannot increase your movement speed, but this is the exception. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
Bane of the Powerful,Gem,Gem,"Gain 20% increased damage for 20 seconds after killing an elite pack. Increases damage against elites by 15% (Requires Rank 25) ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +1 second buff duration. ; The damage bonus is summed together with other regular skill buffs. To learn more about damage bonus classes see this thread . ; Few things embolden the spirit like a powerful enemy lying dead at your feet."" - Andomiel Chu, Master Gem Cutter of Xiansai."
Bane of the Stricken,Gem,Gem,"Each attack you make against an enemy increases the damage it takes from your attacks by 0.8% Gained increased damage against Rift Guardians and bosses at rank 25 ; This item is exclusive to Season 4 and will drop in other game modes once season 3 completes. ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Damage bonus is increased by 0.01% per rank ; After the defeat of Malthael, Diadra the Scholar wandered the world. She studied the gem cutters of Xiansai, and brought their secrets back to Westmarch. Bane of the Stricken is the first gem to come out of her Westmarch workshop."
Bane of the Trapped,Gem,Gem,Increase damage against enemies under the effects of control-impairing effects by 15.0%. Gain an aura that reduces the movement speed of enemies within 15 yards by 30% (Requires Rank 25) ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +0.3% damage. ; The level 25 rank effect of this gem works counts as a control-impairing effect and procs the increased damage. ; The damage bonus is it's own separate damage class making it a very powerful gem. To learn more about damage bonus classes see this thread .
Barter Town Pads,Shoulders,Shoulders,No unique legendary effect.
Bastion's Revered,Weapon (2H),Two-Handed Mighty Weapon,"Frenzy now stacks up to 10 times. ; This mighty weapon allows Frenzy to stack up to 10 times. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
Beckon Sail,Chest,Cloak,"Automatically cast Smoke Screen when you fall below 25% Life. This effect may occur once every 30 seconds. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 232-108 Base Armor"
Belt of the Trove,Waist,Belt,"Every 6–8 seconds, call down Bombardment on a random nearby enemy. ; This item was an exclusive Season 2 drop, but now can be found anywhere as of Patch 2.2.0 and the end of Season 2. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 286–318 Base Armor ; Primary Stats"
Belt of Transcendence,Waist,Belt,Summon a Fetish Sycophant when you hit with a Mana spender.
Bezoar Stone,Head,Spirit Stone,No unique legendary effect.
Binding of the Lost,Waist,Belt,Each hit with Seven-Sided Strike grants 3.0–3.5% damage reduction for 7 seconds.
Blackfeather,Chest,Cloak,"Dodging or getting hit by a ranged attack automatically shoots a homing rocket back at the attacker for 600–800% weapon damage as Physical. ; Benefits from Physical skills deal X% more damage . ; The homing rockets can have their damage boosted by 100% by the Ballistics passive ability. ; Ballistics: Increase damage of rockets by 100%. In addition, you have a 20% chance to fire a homing rocket for 150% weapon damage when you attack. ; Level 31 Stats ; Level 70 Stats"
Blackguard,Weapon (2H),Two-Handed Sword,"Reduces duration of control impairing 20-40% ; Weapons don't normally roll with Crowd Control Reduction. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
Blackthorne's Duncraig Cross,Neck,Set Amulet,"Part of the Blackthorne ; The two piece set bonus will increase your Vitality by 250 and increase your Damage Against Elites by 10%. ; The three piece set bonus will give you 25% Gold Find and reduce your Damage From Elites by 10%. ; The four piece set bonus will make you immune to Desecrator, Molten and Plagued ground effects. ; Blackthorne's Battlegear Blackthorne's Duncraig Cross ; Blackthorne's Jousting Mail"
Blackthorne's Jousting Mail,Chest,Set Chest Armor,"Part of the Blackthorne ; The two piece set bonus will increase your Vitality by 250 and increase your Damage Against Elites by 10%. ; The three piece set bonus will give you 25% Gold Find and reduce your Damage From Elites by 10%. ; The four piece set bonus will make you immune to Desecrator, Molten and Plagued ground effects. ; Blackthorne's Battlegear Blackthorne's Duncraig Cross ; Blackthorne's Jousting Mail"
Blackthorne's Notched Belt,Waist,Set Belt,"Part of the Blackthorne ; The two piece set bonus will increase your Vitality by 250 and increase your Damage Against Elites by 10%. ; The three piece set bonus will give you 25% Gold Find and reduce your Damage From Elites by 10%. ; The four piece set bonus will make you immune to Desecrator, Molten and Plagued ground effects. ; Blackthorne's Battlegear Blackthorne's Duncraig Cross ; Blackthorne's Jousting Mail"
Blackthorne's Spurs,Feet,Set Boots,"Part of the Blackthorne ; The two piece set bonus will increase your Vitality by 250 and increase your Damage Against Elites by 10%. ; The three piece set bonus will give you 25% Gold Find and reduce your Damage From Elites by 10%. ; The four piece set bonus will make you immune to Desecrator, Molten and Plagued ground effects. ; Blackthorne's Battlegear Blackthorne's Duncraig Cross ; Blackthorne's Jousting Mail"
Blackthorne's Surcoat,Chest,Set Chest Armor,"Part of the Blackthorne ; The two piece set bonus will increase your Vitality by 250 and increase your Damage Against Elites by 10%. ; The three piece set bonus will give you 25% Gold Find and reduce your Damage From Elites by 10%. ; The four piece set bonus will make you immune to Desecrator, Molten and Plagued ground effects. ; Blackthorne's Battlegear Blackthorne's Duncraig Cross ; Blackthorne's Jousting Mail"
Blade Of Prophecy,Weapon (2H),Two-Handed Sword,"Condemned enemies also trigger Condemn ; Lylirra stated the following on 4/21/2014: Blade of Prophecy currently only procs two extra explosions of Condemn, regardless of how many targets are Condemned while the weapon is equipped. ; This is intended functionality of the weapon, and has been since it was implemented. ; No changes have been made to Blade of Prophecy since RoS shipped, and no known bugs are currently active with the weapon. ; Level 50 Stats ; Level 70 Stats"
Blessed of Haull,Waist,Belt,"Justice spawns a Blessed Hammer when it hits an enemy. ; This item was exclusive to Season 3. However it can now drop in any game mode. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31 . Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 68–87 Base Armor"
Blind Faith,Head,Helmet,"20-40% chance to Blind on Hit ; Chance to Blind does not normally roll on Helmets and when it does appear on other gear types, it never rolls this high. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; 186-224 Base Armor"
Blitzbolter,Weapon (1H),Hand Crossbow,Crafted Hand Crossbow that has 5 random Magic Properties.
Blood Brother,Weapon (2H),Two-Handed Sword,"Grans a 10-20% chance to block attacks. Blocked attacks inflict 20% less damage. After block an attack, your next attack inflicts 20% additional damage. ; This item was added in a recent patch, please comment below if you have any information explaining how this item works. Blood Brother's damage bonus can now only be triggered by blocking a melee or ranged attack ; Blocks triggered by ground effects or magic damage are excluded ; The minimum level this item can drop at is 70. Below you will find the range of stats found on the level 70 version. ; Damage ; 1730.4–1795.7 Base DPS"
Blood-Magic Blade,Weapon (1H),Dagger,Blood oozes from you. Crafted level 60 Dagger. ; This dagger causes you to visually bleed yet it does not drain your life. ; Level 60 stat ranges shown below. ; Damage ; 1076.4–1315.1 Base DPS ; (585–704)–(795–966) Damage
Blood-Magic Edge,Weapon (1H),Dagger,Blood oozes from you. Crafted level 70 Dagger.
Board Walkers,Feet,Boots,Crafted Legendary Boots with 5 random Magic Properties.
Bombadier's Rucksack,Off-hand,Quiver,"You may have 2 additional Sentries. ; The Demon Hunter ability Sentry generally only allows for a maximum of 2 Sentries to be active at once. This quiver increases it to 4. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Primary Stats"
Boon of the Hoarder,Gem,Gem,"25% chance on killing an enemy to cause an explosion of gold. Gain 30% increased movement speed for 3 seconds after picking up gold. (Requires Rank 25) ; Unlike all other legendary gems, this gem is only found in the Treasure Realm by killing Greed. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +1% chance on kill."
Boots of Disregard,Feet,Boots,"Gain 10,000 Life Regeneration per second for each second you stand still. This effect stacks up to 4 times. ; Maximum Life Regeneration provided is 4,000 ; Any movement will cancel the effect. ; Randomly drops from the Act 3 & 4 Horadric Cache, the reward for completing all 5 bounties in the act. ; This item is a Reaper of Souls only item. ; Level 12 Stats"
Born's Frozen Soul,Chest,Set Chest Armor,Crafted Set Chest Armor that has 6 random Magic Properties Part of the Born ; The two piece set bonus will increase your maximum life amount by 15%. ; The three piece bonus will decrease all your skill cooldowns by 10% and it will increase your Experience Bonus by 20%. ; Born's Command Born's Furious Wrath ; Born's Privilege ; Born's Frozen Soul
Born's Furious Wrath,Weapon (1H),Set One-Handed Sword,Crafted Set One-Handed Sword that has 5 random Magic Properties Part of the Born ; The two piece set bonus will increase your maximum life amount by 15%. ; The three piece bonus will decrease all your skill cooldowns by 10% and it will increase your Experience Bonus by 20%. ; Born's Command Born's Furious Wrath ; Born's Privilege ; Born's Frozen Soul
Born's Heart of Steel,Chest,Set Chest Armor,Crafted Set Chest Armor that has 5 random Magic Properties Part of the Born ; The two piece set bonus will increase your maximum life amount by 2% and you will get 20 extra XP per monster kill. ; Born's Defiance Born's Heart of Steel ; Born's Impunity ; Born's Searing Spite ; (2) Set:
Born's Impunity,Shoulders,Set Shoulders,Crafted Set Shoulders that has 4 random Magic Properties Part of the Born ; The two piece set bonus will increase your maximum life amount by 2% and you will get 20 extra XP per monster kill. ; Born's Defiance Born's Heart of Steel ; Born's Impunity ; Born's Searing Spite ; (2) Set:
Born's Privilege,Shoulders,Set Shoulders,Crafted Set Shoulders that has 6 random Magic Properties Part of the Born ; The two piece set bonus will increase your maximum life amount by 15%. ; The three piece bonus will decrease all your skill cooldowns by 10% and it will increase your Experience Bonus by 20%. ; Born's Command Born's Furious Wrath ; Born's Privilege ; Born's Frozen Soul
Born's Searing Spite,Weapon (1H),Set One-Handed Sword,Critical Hit Chance Increased by 1.0–2.0% Crafted Set One-Handed Sword that has 3 random Magic Properties Part of the Born ; The two piece set bonus will increase your maximum life amount by 2% and you will get 20 extra XP per monster kill. ; Weapons don't normally roll with Critical Hit Chance. ; Born's Defiance Born's Heart of Steel ; Born's Impunity ; Born's Searing Spite
Bottomless Potion of Amplification,,Potion,"Increases healing from all sources by 20–25% for 5 seconds. ; This item was exclusive to Season 3. However it can now drop in any game mode. ; ""Some of you claimed I lost the touch during my sojourn in the King's dungeon. To you I say, this potion amplifies healing and puts the lie to your feckless assertions! Yes, I'm back, lackies!"" - Royal Apothecary Jentulf in his weekly address to the Society of Apothecaries."
Bottomless Potion of Fear,,Potion,Fears enemies within 12 yards for 3–4 seconds. ; Has infinite use. ; This potion can only drop in Torment 1 or higher difficulty. ; The minimum level this item can drop at is 61. ; Added in patch 2.1.2 ; “If I learned one thing from my years in the dungeons it’s this: fear is a great motivator. We all need some fear in our lives!” - Royal Apothecary Jentulf at his reinstatement ceremony.
Bottomless Potion of Kulle-Aid,,Potion,"Drinking Kulle-Aid allows you to burst through walls summoned by Waller elites for 5 seconds. Instantly restores 60% Life. ; Has infinite use. ; This potion can only drop in Torment 1 or higher difficulty. ; The minimum level this item can drop at is 61. ; The effect and flavour text of this item is a reference to the Kool-Aid Man , who is a mascot for Kool-Aid and is known for his catch phrase ""Oh, yeah!"" He would generally make his grand entrance in commercials by breaking through walls. ; Oh, yeah!"
Bottomless Potion of Mutilation,,Potion,"Increases Life per Kill by 40,000–50,000 for 5 seconds. Instantly restores 60% Life. ; Has infinite use. ; This potion can only drop in Torment 1 or higher difficulty. ; The minimum level this item can drop at is 61. ; ""Well, I had to test it on someone, didn't I? You're all just jealous!"" -Royal Apothecary Jentulf at his trial, just before sentencing."
Bottomless Potion of Regeneration,,Potion,"Restores an additional 75000–100000 Life over 5 seconds. Instantly restores 60% Life. ; Has infinite use. ; This potion can only drop in Torment 1 or higher difficulty. ; The minimum level this item can drop at is 61. ; “Does Your Majesty know what would serve his armies better than mere healing? Healing combined with more healing!” - Royal Apothecary Jentulf, advising His Majesty in council."
Bottomless Potion of Rejuvenation,,Potion,"Restores 10–15% of your primary resource when used below 25% Life ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; Has infinite use. ; ""When you are losing a fight, healing is no help, as you'll just lose that health in turn. No, what you need is a potion that gives you energy. And I know how to make that potion!"" -Prisoner Jentulf, in a letter to the King pleading for early release."
Bottomless Potion of the Diamond,,Potion,"Increases Resist All by 50–100 for 5 seconds. Instantly restores 60% Life. ; Has infinite use. ; This potion can only drop in Torment 1 or higher difficulty. ; The minimum level this item can drop at is 61. ; “It heals you, it helps you resist damage, and it cures warts!” -Royal Apothecary Jentulf, presenting his newest creation to the king."
Bottomless Potion of the Leech,,Potion,"Increases Life per Hit by 15,000–20,000 for 5 seconds. Instantly restores 60% Life. ; Has infinite use. ; This potion can only drop in Torment 1 or higher difficulty. ; The minimum level this item can drop at is 61. ; “I don’t know how it works, but it’s safe to say that I am the finest apothecary of our age.” - Royal Apothecary Jentulf, in his speech to the Society of Apothecaries."
Bottomless Potion of the Tower,,Potion,"Increases Armor by 10-20% for 5 seconds. Instantly restores 60% Life. ; Has infinite use. ; This potion can only drop in Torment 1 or higher difficulty. ; The minimum level this item can drop at is 61. ; When Royal Apothecary Jentulf said ""If only there were a way to lessen the need for healing,"" Royal Blacksmith Akmmenn replied ""I have an idea."""
Bovine Bardiche,Weapon (2H),Polearm,"Chance on hit to summon a herd of murderous cows. ; Basic Information ; Advanced Information ; Pictures and Video ; Summons four cows to fight alongside you for 15 seconds, they deal around ??% weapon damage per attack. As of patch 2.1.0 (8-26-2014) the summon chance was increased to 100% and the cows were made more durable and their damage was increased."
